Comment,Designator,Footprint,LCSC Part #
1M,R6 R23,R0402,
1N4007W,D4,SOD123-F,
1N5819WS,D3,SOD323-R,
1k65,R15,R0402,
1uF,C6,C0603,
750,R10,R0402,
3k3,R16,R0402,
4.7k,R19,R0402,
5.1k,R18,R0402,
5k1,R3 R5,R0402,
10k,R1 R2 R4 R8 R9 R11 R12 R13 R14 R20 R22,R0402,
10uH,L1,L1210,C86069
15.4k,R17,R0402,
22uF,C2 C3 C4 C8 C9,C0402,
22uF,C10,C0603,
22uF,C13,C0402,
100k,R21,R0402,
100n,C11 C12,C0402,
100nF,C1 C5 C7,C0402,
294k,R7,R0402,
AO3401,Q2,SOT23,
AP2191WG-7,IC2,SOT25,C141321
AP3012,IC1,SOT95P280X135-5N,C460356
BAT60B,D1 D2 D5,SOD323-R,
CH9102F,IC3,QFN24-4X4,
ESP-12,U1,ESP12-SMD,
HT7833,LDO,SOT23-5,
JST-PH-2/90SMD,BATTERY SOLAR,S2B-PH-SM4,C47647
JST-SH 4P,J1 J2,1X04_1MM_RA_VERT,C371588
MMDT3904,Q1,SC70-6,C268586
RED,CHARGING,CHIP-LED0603,C241893
TA-3531-A2,SW1,TA-3530A-A2,C514025
TP4054,CHARGER,SOT-23-5,
TS-1088R-02026,FLASH RESET,TS1088R02026,
USB-C_2-16PIN,J3,USBC_USB-C-16P-5,C2837092
JST-XH_7P,J5,JST-XH_7P,C144398
JST-XH_3P,DS18B20,JST-XH_3P,
