Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-17.27,21.80,Top,90.0
C1,22.12,22.02,Top,180.0
C2,22.12,19.38,Top,180.0
C3, 8.05,25.17,Top,0.0
C4,22.12,16.41,Top,0.0
C5,34.69,30.40,Top,270.0
C6,-3.20,17.03,Top,90.0
C7,27.91,31.09,Top,90.0
C8, 5.16,19.89,Top,270.0
C9,13.31,19.89,Top,90.0
C10,11.23, 7.32,Top,0.0
C11, 8.28, 8.15,Top,0.0
C12, 6.10, 9.58,Top,270.0
C13, 1.27,26.01,Top,180.0
CHARGER,-0.41,17.02,Top,270.0
CHARGING, 2.06,15.71,Top,0.0
D1,-5.20,12.19,Top,180.0
D2,-4.09, 9.83,Top,270.0
D3,12.24,17.30,Top,270.0
D4, 1.19,29.72,Top,90.0
D5,-6.38,16.33,Top,270.0
FLASH,38.10, 2.03,Top,180.0
IC1, 7.98,19.43,Top,180.0
IC2, 3.71,23.29,Top,0.0
IC3, 9.02,11.05,Top,0.0
J1,16.38,31.90,Top,180.0
J2, 8.98,31.90,Top,180.0
J3, 4.65, 6.63,Top,0.0
L1, 7.95,16.18,Top,180.0
LDO, 8.84,22.83,Top,0.0
Q1, 0.38,21.87,Top,270.0
Q2,-5.21,22.81,Top,180.0
R1,22.12,13.77,Top,0.0
R2,22.12,11.10,Top,0.0
R3,-1.22, 4.22,Top,270.0
R4,34.01, 2.03,Top,0.0
R5,10.77, 4.11,Top,270.0
R6,25.65,31.09,Top,90.0
R7,26.79,31.09,Top,270.0
R8,29.82, 2.54,Top,90.0
R9, 0.38,20.12,Top,180.0
R10, 2.06,17.99,Top,270.0
R11,28.58, 2.54,Top,90.0
R12,22.45,28.65,Top,90.0
R13,21.39,28.65,Top,90.0
R14, 0.38,23.62,Top,0.0
R15, 1.85,12.88,Top,270.0
R16,-2.59,12.88,Top,270.0
R17,12.24,19.89,Top,90.0
R18,11.20,19.89,Top,270.0
R19,-6.83, 7.47,Top,270.0
R20,-2.67,23.42,Top,270.0
R21,-3.76,25.40,Top,0.0
R22, 3.35,26.31,Top,270.0
R23, 5.89,23.67,Top,90.0
RESET,38.10,30.99,Top,0.0
SOLAR,-17.27,11.20,Top,90.0
SW1,-6.15,28.78,Top,180.0
U1,31.42,16.61,Top,180.0
J5,16.66,10.87,Top,270.0
DS18B20,-6.83,3.86,Top,180.0
