Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-17.27,21.80,Top,90.0
C1,22.12,22.02,Top,180.0
C2,22.12,19.38,Top,180.0
C3, 5.28,25.17,Top,0.0
C4,22.12,16.41,Top,0.0
C5,34.08,31.34,Top,270.0
C6,-3.20,17.03,Top,90.0
C7,27.91,30.89,Top,90.0
C8, 5.89,18.80,Top,270.0
C9,13.44,19.23,Top,90.0
CHARGER,-0.41,17.02,Top,270.0
CHARGING, 3.94,12.89,Top,0.0
D1,-5.20,12.19,Top,180.0
D2, 7.09, 8.51,Top,270.0
D3,12.37,16.13,Top,270.0
FLASH,38.10, 2.03,Top,180.0
IC1, 8.69,18.77,Top,180.0
J1,16.38,31.90,Top,180.0
J2, 8.98,31.90,Top,180.0
J3, 4.65, 6.35,Top,0.0
L1, 8.66,15.04,Top,180.0
LDO, 6.07,22.83,Top,0.0
Q1, 0.38,21.87,Top,270.0
R1,22.12,13.77,Top,0.0
R2,22.12,11.10,Top,0.0
R3,-0.76, 3.18,Top,270.0
R4,34.01, 2.03,Top,0.0
R5,10.06, 3.20,Top,270.0
R6,25.65,31.09,Top,90.0
R7,26.79,31.09,Top,270.0
R8,29.82, 2.54,Top,90.0
R9, 0.38,20.12,Top,180.0
R10, 3.94,15.17,Top,270.0
R11,28.58, 2.54,Top,90.0
R12,22.45,28.65,Top,90.0
R13,21.39,28.65,Top,90.0
R14, 0.38,23.62,Top,0.0
R15, 1.85,12.88,Top,270.0
R16,-2.59,12.88,Top,270.0
R17,12.37,19.23,Top,90.0
R18,12.37,21.31,Top,90.0
RESET,38.10,30.99,Top,0.0
SOLAR,-17.27,11.20,Top,90.0
SW1,-6.15,28.78,Top,180.0
U1,31.42,16.61,Top,180.0
DS18B20,-6.83,3.86,Top,180.0
J5,16.66,10.87,Top,270.0
